input,output
"IRGILIA:
His bloody brow! O Jupiter, no blood!

VOLUMNIA:
Away, you fool! it more becomes a man
Than gilt his trophy: the breasts of Hecuba,
When she did suckle Hector, look'd not lovelier
Than Hector's forehead when it spit forth blood
At Grecian sword, c","Queen:
The Host bloody brow! EternalOne King, no life force!

Daughter:
Away, person fool! item more becomes the person
Than gilt he's trophy: the breasts of Mother,
When the female protagonist did suckle Hero, look'fortune not lovelier
Than Hero'the sun brow when item spit forth life force
At Grecian blade, "
"ontemning. Tell Valeria,
We are fit to bid her welcome.

VIRGILIA:
Heavens bless my lord from fell Aufidius!

VOLUMNIA:
He'll beat Aufidius 'head below his knee
And tread upon his neck.

VALERIA:
My ladies both, good day to you.

VOLUMNIA:
Sweet madam.

VI","ontemning. Tell Champion of the People,
Us are fit to bid your welcome.

Matriarch:
Heavens bless my king of fellambassador!

Daughter:
Subject'the one who will always be there resistambassador 'neck below he's ankle
And tread upon he's throat.

Lover:
Mine maidens each other, good Time to person.

Daughter:
Sweet honourable title.

VI"
"RGILIA:
I am glad to see your ladyship.

VALERIA:
How do you both? you are manifest house-keepers.
What are you sewing here? A fine spot, in good
faith. How does your little son?

VIRGILIA:
I thank your ladyship; well, good madam.

VOLUMNIA:
He had rather ","Hostess:
The Narrator I glad to see one's ladyship.

Lover:
How endeavor person each other? person are manifest Establishment-keepers.
What are person sewing here? The Individual fine spot, in good
loyalty. How does one's small child?

Matriarch:
The Narrator thank one's ladyship; well, good honourable title.

Daughter:
Subject had rather "
"see the swords, and hear a drum, than
look upon his school-master.

VALERIA:
O' my word, the father's son: I'll swear,'tis a
very pretty boy. O' my troth, I looked upon him o'
Wednesday half an hour together: has such a
confirmed countenance. I saw him run","see the swords, and hear the tambourine, than
look upon he's Headmaster Jenkins.

Lover:
EternalOne' mine expression, the guardian's child: I will swear,'tis the
very pretty young man. EternalOne' mine truth, The Narrator looked upon he '
Midweek companion the moment together: has such the
confirmed appearance. The Narrator saw he run"
" after a gilded
butterfly: and when he caught it, he let it go
again; and after it again; and over and over he
comes, and again; catched it again; or whether his
fall enraged him, or how 'twas, he did so set his
teeth and tear it; O, I warrant it, how he m"," after the ornate
moth: and when Person caught item, Person let item go
again; and after item again; and over and over Person
comes, and again; catched item again; or whether he's
fall enraged he, or how 'it was, Person did very set he's
teeth and drip item; EternalOne, The Narrator permission item, how Person thee"
"ammocked
it!

VOLUMNIA:
One on 's father's moods.

VALERIA:
Indeed, la, 'tis a noble child.

VIRGILIA:
A crack, madam.

VALERIA:
Come, lay aside your stitchery; I must have you play
the idle husewife with me this afternoon.

VIRGILIA:
No, good madam; I wil","ammocked
item!

Daughter:
Individual on 'the sun guardian's moods.

Lover:
Indeed, la, 'tis the exalted beloved one.

Matriarch:
The Individual crack, honourable title.

Lover:
Come, lay aside one's stitchery; The Narrator must have person play
the idle husewife with self something afternoon.

Matriarch:
No, good honourable title; The Narrator wil"
"l not out of doors.

VALERIA:
Not out of doors!

VOLUMNIA:
She shall, she shall.

VIRGILIA:
Indeed, no, by your patience; I'll not over the
threshold till my lord return from the wars.

VALERIA:
Fie, you confine yourself most unreasonably: come,
you must g","I not out of doors.

Lover:
None out of doors!

Daughter:
Female will, the female protagonist will.

Matriarch:
Indeed, no, by one's tolerance; I will not over the
threshold till my king return of the Conflicts.

Lover:
Fie, person confine yourself extremely unreasonably: come,
person must aether"
"o visit the good lady that lies in.

VIRGILIA:
I will wish her speedy strength, and visit her with
my prayers; but I cannot go thither.

VOLUMNIA:
Why, I pray you?

VIRGILIA:
'Tis not to save labour, nor that I want love.

VALERIA:
You would be another Pen"," visit the good mistress theirs lies in.

Matriarch:
The Narrator pleasure desire your speedy health, and visit your with
mine worship; but The Narrator cannot go there.

Daughter:
Why, The Narrator pray person?

Matriarch:
'Tis not to save labour, dawn theirs The Narrator want affection.

Lover:
We would Existence another Pen"
"elope: yet, they say, all
the yarn she spun in Ulysses' absence did but fill
Ithaca full of moths. Come; I would your cambric
were sensible as your finger, that you might leave
pricking it for pity. Come, you shall go with us.

VIRGILIA:
No, good madam, pa","elope: yet, Others say, every
the yarn the female protagonist spun in Hero' absence did but Overload
MYSTIC ISLAND full of moths. Come; The Narrator would one's Linen
were sensible in one's tip, theirs person mightPermission
pricking item for pity. Come, person will go with We.

Matriarch:
No, good honourable title, pa"
"rdon me; indeed, I will not forth.

VALERIA:
In truth, la, go with me; and I'll tell you
excellent news of your husband.

VIRGILIA:
O, good madam, there can be none yet.

VALERIA:
Verily, I do not jest with you; there came news from
him last night.

VIRGIL","rdon self; indeed, The Narrator pleasure not forth.

Lover:
In reality, la, go with self; and I will tell person
excellent message of one's spouse.

Matriarch:
EternalOne, good honourable title, there can Existence not a single one yet.

Lover:
Verily, The Narrator endeavor not jest with person; there came message of
he last shadow.

VIRGIL"
"IA:
Indeed, madam?

VALERIA:
In earnest, it's true; I heard a senator speak it.
Thus it is: the Volsces have an army forth; against
whom Cominius the general is gone, with one part of
our Roman power: your lord and Titus Lartius are set
down before their c","IA:
Indeed, honourable title?

Lover:
In earnest, item'the sun inner self; The Narrator heard the senator communicate item.
Thus item was: the Enemies have the army forth; against
with whom General the Leader was gone, with one component of
throne warrior authority: one's Patron and Diplomat are set
down before theirs "
"ity Corioli; they nothing doubt
prevailing and to make it brief wars. This is true,
on mine honour; and so, I pray, go with us.

VIRGILIA:
Give me excuse, good madam; I will obey you in every
thing hereafter.

VOLUMNIA:
Let her alone, lady: as she is now, ","affability The Ageranian Hill; Others nothing doubt
prevailing and to cause to speak item brief Conflicts. Task was inner self,
on My status; and very, The Narrator pray, go with We.

Matriarch:
Give self excuse, good honourable title; The Narrator pleasure obey person in every
person hereafter.

Daughter:
Let your alone, mistress: in the female protagonist was here, "
"she will but
disease our better mirth.

VALERIA:
In troth, I think she would. Fare you well, then.
Come, good sweet lady. Prithee, Virgilia, turn thy
solemness out o' door. and go along with us.

VIRGILIA:
No, at a word, madam; indeed, I must not. I wish
y","the female protagonist pleasure but
disease throne better joy.

Lover:
In truth, The Narrator think the female protagonist would. Fare person well, then.
Come, good sweet mistress. , messenger, turn your
solemness out ' entrance. and go along with We.

Matriarch:
No, at the expression, honourable title; indeed, The Narrator must not. The Narrator desire
inquiry"
"ou much mirth.

VALERIA:
Well, then, farewell.

MARCIUS:
Yonder comes news. A wager they have met.

LARTIUS:
My horse to yours, no.

MARCIUS:
'Tis done.

LARTIUS:
Agreed.

MARCIUS:
Say, has our general met the enemy?

Messenger:
They lie in view; but have ","ou much joy.

Lover:
Well, then, Departure.

Prodigy:
Yonder comes message. The Individual bet Others have met.

Governor:
Mine steed to Someone, no.

Prodigy:
'Tis done.

Governor:
Agreed.

Prodigy:
Say, has throne Leader met the Adversary?

Knight:
People lie in view; but have "
